english,asl_gloss
The flowers smell really sweet,FLOWERS SMELL SWEET REALLY.
I want to buy a second-hand bicycle,BICYCLE SECOND-HAND ME WANT BUY.
I need to download a new app,APP NEW ME NEED DOWNLOAD.
The noise outside is bothering me,OUTSIDE NOISE ME BOTHERING.
I will call the customer service line,CUSTOMER SERVICE LINE ME WILL CALL.
I need to install a new security camera,SECURITY CAMERA NEW ME NEED INSTALL.
I am not feeling very creative today,TODAY ME FEEL CREATIVE NOT VERY.
I need to check the oven temperature,OVEN TEMPERATURE ME NEED CHECK.
The cat is sleeping on the window sill,CAT WINDOW SILL SLEEPING ON.
I will remember this conversation,CONVERSATION THIS ME WILL REMEMBER.
I need to buy a travel adapter,TRAVEL ADAPTER ME NEED BUY.
The presentation starts in five minutes,FIVE MINUTES PRESENTATION START.
I am very grateful for your support,SUPPORT YOUR ME GRATEFUL VERY.
I need to clean the shower drain,SHOWER DRAIN ME NEED CLEAN.
The music is perfect for dancing,MUSIC DANCING PERFECT FOR.
I will take the earliest train available,TRAIN AVAILABLE EARLIEST ME WILL TAKE.
I need to check the washing machine,WASHING MACHINE ME NEED CHECK.
I feel completely refreshed after the nap,NAP AFTER ME FEEL REFRESHED COMPLETELY.
I need to make a doctor's appointment,DOCTOR APPOINTMENT ME NEED MAKE.
The book is written in French,BOOK WRITTEN FRENCH IN.
I will start saving my vacation days,VACATION DAYS ME WILL START SAVE.
I need to return this item to the store,ITEM THIS ME NEED RETURN STORE TO.
The show will be recorded live,SHOW LIVE WILL BE RECORDED.
I need to check the inventory levels,INVENTORY LEVELS ME NEED CHECK.
I am going to buy a lottery ticket,LOTTERY TICKET ME GOING BUY.
I need to buy new windshield wipers,WINDSHIELD WIPERS NEW ME NEED BUY.
The flight was delayed by an hour,FLIGHT DELAYED ONE HOUR BY.
I need to replace the cabinet handle,CABINET HANDLE ME NEED REPLACE.
I need to seal the deck,DECK I NEED SEAL.
The elevator is very slow,ELEVATOR SLOW VERY.
I will check the oil filter,OIL FILTER I WILL CHECK.
I am taking a foreign language,LANGUAGE FOREIGN I TAKING.
I want to write a journal entry,JOURNAL ENTRY I WANT WRITE.
I need a new pair of socks,SOCKS PAIR NEW I NEED.
The soup is too thick,SOUP THICK TOO.
I will clean the refrigerator,REFRIGERATOR I WILL CLEAN.
I need to find the recipe,RECIPE I NEED FIND.
I am happy to be here,HERE I HAPPY BE.
I want to learn about coding,CODING ABOUT I WANT LEARN.
I need a box of matches,MATCHES BOX I NEED.
The noise is distracting me,NOISE ME DISTRACTING.
I will organize the drawers,DRAWERS I WILL ORGANIZE.
I need to check the plumbing,PLUMBING I NEED CHECK.
I am tired of the cold weather,WEATHER COLD I TIRED OF.
I want to be more outgoing,OUTGOING MORE I WANT BE.
I need a new trash can,TRASH CAN NEW I NEED.
The book is fiction,BOOK FICTION.
I will clean the headlights,HEADLIGHTS I WILL CLEAN.
I need to buy a dog leash,DOG LEASH I NEED BUY.
I am looking for a quiet area,AREA QUIET I LOOKING FOR.
I want to start a new hobby,HOBBY NEW I WANT START.
I need a coat rack,COAT RACK I NEED.
The door handle is loose,DOOR HANDLE LOOSE.
I will write a formal letter,LETTER FORMAL I WILL WRITE.
I need to find the apartment number,APARTMENT NUMBER I NEED FIND.
I am preparing for retirement,RETIREMENT I PREPARING FOR.
I want to learn calligraphy,CALLIGRAPHY I WANT LEARN.
I need a paper shredder,PAPER SHREDDER I NEED.
The traffic is heavy,TRAFFIC HEAVY.
I will check the water temperature,WATER TEMPERATURE I WILL CHECK.
I need to buy a kitchen towel,KITCHEN TOWEL I NEED BUY.
I am visiting my relatives,RELATIVES MY I VISITING.
I want to save time and money,TIME MONEY I WANT SAVE.
I need a bottle brush,BOTTLE BRUSH I NEED.
The coffee is too sweet,COFFEE SWEET TOO.
I will clean the counter tops,COUNTER TOPS I WILL CLEAN.
I need to check the expiration date,EXPIRATION DATE I NEED CHECK.
I am thinking about my future,FUTURE MY I THINKING ABOUT.
I want to paint the walls,WALLS I WANT PAINT.
I need a sewing machine,SEWING MACHINE I NEED.
The music is peaceful,MUSIC PEACEFUL.
I will check the mail,MAIL I WILL CHECK.
I need to find the address,ADDRESS I NEED FIND.
I am going to the seminar,I GO SEMINAR.
I want to learn meditation,MEDITATION I WANT LEARN.
I need a garden trowel,GARDEN TROWEL I NEED.
The blanket is soft,BLANKET SOFT.
I will bring a dessert,DESSERT I WILL BRING.
I need to buy a new charger,CHARGER NEW I NEED BUY.
I am waiting for a response,RESPONSE I WAITING FOR.
I want to buy a television,TELEVISION I WANT BUY.
I need a wrench set,WRENCH SET I NEED.
The weather is windy,WEATHER WINDY.
I will vacuum the stairs,STAIRS I WILL VACUUM.
I need to buy a dog collar,DOG COLLAR I NEED BUY.
I am trying to concentrate,CONCENTRATE I TRYING.
I want to be a vegetarian,VEGETARIAN I WANT BE.
I need a staple remover,STAPLE REMOVER I NEED.
The movie was dramatic,MOVIE DRAMATIC WAS.
I will sign the document,DOCUMENT I WILL SIGN.
I need to find the phone number,PHONE NUMBER I NEED FIND.
I am going to the concert,I GO CONCERT.
I want to visit a foreign country,COUNTRY FOREIGN I WANT VISIT.
I need a desk organizer,DESK ORGANIZER I NEED.
The car needs washing,CAR NEED WASHING.
I will replace the batteries,BATTERIES I WILL REPLACE.
I need to check the gas tank,GAS TANK I NEED CHECK.
I am feeling creative today,TODAY I FEEL CREATIVE.
I want to take a cooking class,COOKING CLASS I WANT TAKE.
I need a pair of gloves,GLOVES PAIR I NEED.
The floor is slippery,FLOOR SLIPPERY.
I will take the bus,BUS I WILL TAKE.
I need to buy a water hose,WATER HOSE I NEED BUY.
I am looking for a new apartment,APARTMENT NEW I LOOKING FOR.
I want to learn about philosophy,PHILOSOPHY I WANT LEARN ABOUT.
I need a cutting board,CUTTING BOARD I NEED.
The light is too dim,LIGHT DIM TOO.
I will write a research paper,RESEARCH PAPER I WILL WRITE.
I need to find the bus schedule,BUS SCHEDULE I NEED FIND.
I am feeling energized,I FEEL ENERGIZED.
I want to try skiing,SKIING I WANT TRY.
I need a lint roller,LINT ROLLER I NEED.
The bag is heavy,BAG HEAVY.
I will organize my recipes,RECIPES I WILL ORGANIZE.
I need to buy a new wallet,WALLET NEW I NEED BUY.
I am studying late tonight,TONIGHT I STUDY LATE.
I want to buy a birthday cake,BIRTHDAY CAKE I WANT BUY.
I need a key chain,KEY CHAIN I NEED.
The train is fast,TRAIN FAST.
I will check the weather,WEATHER I WILL CHECK.
I need to find the directions,DIRECTIONS I NEED FIND.
I am attending a workshop,WORKSHOP I ATTENDING.
I want to learn about history,HISTORY I WANT LEARN ABOUT.
I need a fire pit,FIRE PIT I NEED.
The sound is muffled,SOUND MUFFLED.
I will turn on the fan,FAN I WILL TURN-ON.
I need to buy new hiking boots,HIKING BOOTS NEW I NEED BUY.
English,ASL_Gloss
I need to clean the grout,GROUT I NEED CLEAN.
The movie was boring,MOVIE BORING WAS.
I will visit a friend,FRIEND I WILL VISIT.
I need to buy a bird cage,BIRD CAGE I NEED BUY.
I am looking for a good book,BOOK GOOD I LOOKING FOR.
I want to learn to surf,SURF I WANT LEARN.
I need a snow shovel,SNOW SHOVEL I NEED.
The shirt is stained,SHIRT STAINED.
I will check the tire air,TIRE AIR I WILL CHECK.
I need to find the building,BUILDING I NEED FIND.
I am worried about the cost,COST I WORRIED ABOUT.
I want to be helpful,HELPFUL I WANT BE.
I need a first aid guide,FIRST AID GUIDE I NEED.
The coffee cup is empty,COFFEE CUP EMPTY.
I will bring my ID,ID I WILL BRING.
I need to buy gardening gloves,GARDENING GLOVES I NEED BUY.
I am confused by the map,MAP I CONFUSED BY.
I want to buy a house plant,HOUSE PLANT I WANT BUY.
I need a luggage tag,LUGGAGE TAG I NEED.
The chair is comfortable,CHAIR COMFORTABLE.
I will call a technician,TECHNICIAN I WILL CALL.
I need to check the roof tiles,ROOF TILES I NEED CHECK.
I am planning a big dinner,DINNER BIG I PLANNING.
I want to learn to sew,SEW I WANT LEARN.
I need a door stop,DOOR STOP I NEED.
The elevator is full,ELEVATOR FULL.
I will send a message to my boss,BOSS MESSAGE I WILL SEND.
I need to buy a welcome mat,WELCOME MAT I NEED BUY.
I am looking for a pharmacy,PHARMACY I LOOKING FOR.
I want to learn about coding,CODING I WANT LEARN ABOUT.
I need a picture frame,PICTURE FRAME I NEED.
The kitchen is messy,KITCHEN MESSY.
I will clean the keyboard,KEYBOARD I WILL CLEAN.
I need to find the gate number,GATE NUMBER I NEED FIND.
I am tired of waiting,WAITING I TIRED OF.
I want to try scuba diving,SCUBA DIVING I WANT TRY.
I need a new backpack,BACKPACK NEW I NEED.
The road is wet,ROAD WET.
I will check the temperature,TEMPERATURE I WILL CHECK.
I need to buy a new mouse,MOUSE NEW I NEED BUY.
I am ready for the challenge,CHALLENGE I READY FOR.
I want to buy a scooter,SCOOTER I WANT BUY.
I need a dust cloth,DUST CLOTH I NEED.
The oven is hot,OVEN HOT.
I will bring an appetizer,APPETIZER I WILL BRING.
I need to find a public phone,PUBLIC PHONE I NEED FIND.
I am going to the bookstore,I GO BOOKSTORE.
I want to visit a zoo,ZOO I WANT VISIT.
I need a new computer monitor,COMPUTER MONITOR NEW I NEED.
The phone battery is dead,PHONE BATTERY DEAD.
I will take a moment,MOMENT I WILL TAKE.
I need to buy new tennis shoes,TENNIS SHOES NEW I NEED BUY.
I am excited about the news,NEWS I EXCITED ABOUT.
I want to learn to paint,PAINT I WANT LEARN.
I need a pencil case,PENCIL CASE I NEED.
The dog is barking,DOG BARKING.
I will return to the office,OFFICE I WILL RETURN.
I need to check the windshield,WINDSHIELD I NEED CHECK.
I am looking for a recipe,RECIPE I LOOKING FOR.
I want to be more spontaneous,SPONTANEOUS MORE I WANT BE.
I need a paper towel roll,PAPER TOWEL ROLL I NEED.
The soup is warm,SOUP WARM.
I will organize the garage,GARAGE I WILL ORGANIZE.
I need to buy a water pitcher,WATER PITCHER I NEED BUY.
I am thinking about lunch,LUNCH I THINKING ABOUT.
I want to try pottery,POTTERY I WANT TRY.
I need a wire brush,WIRE BRUSH I NEED.
The stairs are slippery,STAIRS SLIPPERY.
I will call the insurance company,INSURANCE COMPANY I WILL CALL.
I need to find my house key,HOUSE KEY I NEED FIND.
I am going to the laundromat,I GO LAUNDROMAT.
I want to take a yoga class,YOGA CLASS I WANT TAKE.
I need a car jack,CAR JACK I NEED.
The movie is starting,MOVIE STARTING.
I will check the back door,BACK DOOR I WILL CHECK.
I need to buy a dog toy,DOG TOY I NEED BUY.
I am feeling relieved,I FEEL RELIEVED.
I want to learn about geology,GEOLOGY I WANT LEARN ABOUT.
I need a small cooler,COOLER SMALL I NEED.
The sidewalk is cracked,SIDEWALK CRACKED.
I will wipe the dust,DUST I WILL WIPE.
I need to buy new pillowcases,PILLOWCASES NEW I NEED BUY.
I am reading a long article,ARTICLE LONG I READING.
I want to visit a lighthouse,LIGHTHOUSE I WANT VISIT.
I need a kitchen scale,KITCHEN SCALE I NEED.
The music is gentle,MUSIC GENTLE.
I will check the volume,VOLUME I WILL CHECK.
I need to find the train track,TRAIN TRACK I NEED FIND.
I am planning a weekend trip,WEEKEND TRIP I PLANNING.
I want to try skateboarding,SKATEBOARDING I WANT TRY.
I need a large umbrella,UMBRELLA LARGE I NEED.
The phone is muted,PHONE MUTED.
I will close the blind,BLIND I WILL CLOSE.
I need to buy a calendar,CALENDAR I NEED BUY.
I am attending a seminar,SEMINAR I ATTENDING.
I want to save my money,MONEY MY I WANT SAVE.
I need a first aid kit,FIRST AID KIT I NEED.
The air is humid,AIR HUMID.
I need to check the house foundation,HOUSE FOUNDATION I NEED CHECK.
The movie was very romantic,MOVIE ROMANTIC VERY.
I will visit a theme park,THEME PARK I WILL VISIT.
