test_number,timestamp,audio_duration,whisper_output,ground_truth,asl_converted,expected_gloss,predicted_gloss,gloss_error_rate,gloss_accuracy,mapped_signs,unknown_words,wer,rtf,latency,mapping_accuracy,vocabulary_coverage,unknown_ratio
7,2026-04-29T20:19:46.967543,5.63,Yesterday I was not eating because I was sick.,Yesterday I was not eating because I was sick.,YESTERDAY BECAUSE I SICK I EAT NOT,YESTERDAY I EAT NOT SICK,YESTERDAY BECAUSE I SICK I EAT NOT,0.8000,0.2000,YESTERDAY BECAUSE I SICK I EAT NOT,"because,sick,not",0.0000,0.6792,21.720,0.5714,0.5000,0.4286
1,2026-04-29T20:25:30.699008,3.01,I am hungry.,I am hungry.,I HUNGRY,I HUNGRY,I HUNGRY,0.0000,1.0000,I HUNGRY,hungry,0.0000,2.4265,22.359,0.5000,0.5000,0.5000
2,2026-04-29T20:26:08.318981,2.56,She is happy.,She is happy.,SHE HAPPY,SHE HAPPY,SHE HAPPY,0.0000,1.0000,SHE HAPPY,,0.0000,1.3328,20.636,1.0000,1.0000,0.0000
3,2026-04-29T20:27:48.442104,2.56,I eat rice.,I eat rice.,RICE I EAT,RICE I EAT,RICE I EAT,0.0000,1.0000,RICE I EAT,,0.0000,1.5149,23.498,1.0000,1.0000,0.0000
4,2026-04-29T20:28:24.805594,3.52,He likes music.,He likes music.,MUSIC HE LIKE,MUSIC HE LIKE,MUSIC HE LIKE,0.0000,1.0000,MUSIC HE LIKE,,0.0000,1.1039,21.799,1.0000,1.0000,0.0000
5,2026-04-29T20:29:29.829106,3.33,I will go tomorrow.,I will go tomorrow.,TOMORROW GO I WILL,TOMORROW I GO,TOMORROW GO I WILL,0.6667,0.3333,TOMORROW GO I WILL,will,0.0000,0.9127,18.311,0.7500,0.7500,0.2500
6,2026-04-29T20:30:23.974811,3.07,She studied yesterday.,She studied yesterday.,YESTERDAY SHE STUDY,YESTERDAY SHE STUDY,YESTERDAY SHE STUDY,0.0000,1.0000,YESTERDAY SHE STUDY,,0.0000,1.5949,19.959,1.0000,1.0000,0.0000
7,2026-04-29T20:31:30.942096,2.82,We are meeting today.,We are meeting today.,TODAY WE MEETING,TODAY WE MEET,TODAY WE MEETING,0.3333,0.6667,TODAY WE MEETING,meeting,0.0000,1.2182,15.375,0.6667,0.6667,0.3333
8,2026-04-29T20:33:06.619920,2.82,Where are you going?,Where are you going?,YOU GO WHERE,YOU GO WHERE,YOU GO WHERE,0.0000,1.0000,YOU GO WHERE,,0.0000,0.7869,17.510,1.0000,1.0000,0.0000
9,2026-04-29T20:33:50.470505,2.62,What is your name?,What is your name?,YOUR NAME WHAT,YOUR NAME WHAT,YOUR NAME WHAT,0.0000,1.0000,YOUR NAME WHAT,"your,name",0.0000,1.0915,27.023,0.3333,0.3333,0.6667
13,2026-04-29T20:36:05.127493,3.01,The cat is sleeping.,The cat is sleeping.,CAT SLEEPING,CAT SLEEP,CAT SLEEP,0.0000,1.0000,CAT SLEEP,cat,0.0000,0.9289,19.750,0.5000,0.5000,0.5000
14,2026-04-29T20:38:19.538436,3.84,They are running fast.,They are running fast.,FAST THEY RUN,THEY RUN FAST,FAST THEY RUN,0.6667,0.3333,FAST THEY RUN,,0.0000,0.8003,43.729,1.0000,1.0000,0.0000
16,2026-04-29T20:42:29.692520,3.97,Who is your teacher?,Who is your teacher?,YOUR TEACHER WHO,YOUR TEACHER WHO,YOUR TEACHER WHO,0.0000,1.0000,YOUR TEACHER WHO,"your,who",0.0000,0.8629,17.057,0.3333,0.3333,0.6667
